Optimizer,N,M,Lambda,L2_Error,Model_Path
Adam,1000,100,0.1,0.13775651920851031,models\Adam-1000-100-0p1.pt
Adam,1000,100,10.0,0.013046085773523036,models\Adam-1000-100-10p0.pt
Adam,1000,100,1.0,0.11179341729318365,models\Adam-1000-100-1p0.pt
Adam,1000,100,50.0,0.0022829630876376504,models\Adam-1000-100-50p0.pt
Adam,1000,1000,0.1,0.14486761570629728,models\Adam-1000-1000-0p1.pt
Adam,1000,1000,10.0,0.009349633715531876,models\Adam-1000-1000-10p0.pt
Adam,1000,1000,1.0,0.11411825787474837,models\Adam-1000-1000-1p0.pt
Adam,1000,1000,50.0,0.001988072179973309,models\Adam-1000-1000-50p0.pt
Adam,1000,200,0.1,0.1360924789414519,models\Adam-1000-200-0p1.pt
Adam,1000,200,10.0,0.006550165443231527,models\Adam-1000-200-10p0.pt
Adam,1000,200,1.0,0.10909709452564308,models\Adam-1000-200-1p0.pt
Adam,1000,200,50.0,0.0020553456033131534,models\Adam-1000-200-50p0.pt
Adam,1000,400,0.1,0.1485856816199338,models\Adam-1000-400-0p1.pt
Adam,1000,400,10.0,0.011161109402629273,models\Adam-1000-400-10p0.pt
Adam,1000,400,1.0,0.11714647390522438,models\Adam-1000-400-1p0.pt
Adam,1000,400,50.0,0.002174469016442498,models\Adam-1000-400-50p0.pt
Adam,2000,100,0.1,0.14418196437995984,models\Adam-2000-100-0p1.pt
Adam,2000,100,10.0,0.017556751102367846,models\Adam-2000-100-10p0.pt
Adam,2000,100,1.0,0.10023944720373852,models\Adam-2000-100-1p0.pt
Adam,2000,100,50.0,0.001713177227529554,models\Adam-2000-100-50p0.pt
Adam,2000,1000,0.1,0.14525115459053492,models\Adam-2000-1000-0p1.pt
Adam,2000,1000,10.0,0.007976032484808509,models\Adam-2000-1000-10p0.pt
Adam,2000,1000,1.0,0.1075905291599841,models\Adam-2000-1000-1p0.pt
Adam,2000,1000,50.0,0.0019889774447792736,models\Adam-2000-1000-50p0.pt
Adam,2000,200,0.1,0.14123614874394444,models\Adam-2000-200-0p1.pt
Adam,2000,200,10.0,0.008275264588990056,models\Adam-2000-200-10p0.pt
Adam,2000,200,1.0,0.10277255431053213,models\Adam-2000-200-1p0.pt
Adam,2000,200,50.0,0.00199201687979261,models\Adam-2000-200-50p0.pt
Adam,2000,400,0.1,0.14564541599615988,models\Adam-2000-400-0p1.pt
Adam,2000,400,10.0,0.007367237778091663,models\Adam-2000-400-10p0.pt
Adam,2000,400,1.0,0.10719827142997322,models\Adam-2000-400-1p0.pt
Adam,2000,400,50.0,0.0018478195055797318,models\Adam-2000-400-50p0.pt
Adam,400,100,0.1,0.11759176657819824,models\Adam-400-100-0p1.pt
Adam,400,100,10.0,0.009403097000717554,models\Adam-400-100-10p0.pt
Adam,400,100,1.0,0.08991135336350718,models\Adam-400-100-1p0.pt
Adam,400,100,50.0,0.0021026297611456235,models\Adam-400-100-50p0.pt
Adam,400,1000,0.1,0.13267845633535363,models\Adam-400-1000-0p1.pt
Adam,400,1000,10.0,0.007505864022698754,models\Adam-400-1000-10p0.pt
Adam,400,1000,1.0,0.10130188481492343,models\Adam-400-1000-1p0.pt
Adam,400,1000,50.0,0.0018606610494811533,models\Adam-400-1000-50p0.pt
Adam,400,200,0.1,0.12581052800699744,models\Adam-400-200-0p1.pt
Adam,400,200,10.0,0.008965414502887521,models\Adam-400-200-10p0.pt
Adam,400,200,1.0,0.10073640913288703,models\Adam-400-200-1p0.pt
Adam,400,200,50.0,0.0018367259991817005,models\Adam-400-200-50p0.pt
Adam,400,400,0.1,0.12733550790276607,models\Adam-400-400-0p1.pt
Adam,400,400,10.0,0.006986755543508736,models\Adam-400-400-10p0.pt
Adam,400,400,1.0,0.09716203000373022,models\Adam-400-400-1p0.pt
Adam,400,400,50.0,0.0018629251454742798,models\Adam-400-400-50p0.pt
Adam,5000,100,0.1,0.12395765034404953,models\Adam-5000-100-0p1.pt
Adam,5000,100,10.0,0.010390777734467479,models\Adam-5000-100-10p0.pt
Adam,5000,100,1.0,0.09913057369280588,models\Adam-5000-100-1p0.pt
